NAME,state,county,tract,block group
"Block Group 2, Census Tract 7.03, Suffolk County, Massachusetts",25,025,000703,2
"Block Group 2, Census Tract 5.04, Suffolk County, Massachusetts",25,025,000504,2
"Block Group 1, Census Tract 5.04, Suffolk County, Massachusetts",25,025,000504,1
"Block Group 1, Census Tract 102.03, Suffolk County, Massachusetts",25,025,010203,1
"Block Group 4, Census Tract 102.03, Suffolk County, Massachusetts",25,025,010203,4
"Block Group 3, Census Tract 102.03, Suffolk County, Massachusetts",25,025,010203,3
"Block Group 2, Census Tract 102.03, Suffolk County, Massachusetts",25,025,010203,2
"Block Group 4, Census Tract 1104.03, Suffolk County, Massachusetts",25,025,110403,4
"Block Group 1, Census Tract 101.04, Suffolk County, Massachusetts",25,025,010104,1
"Block Group 1, Census Tract 7.03, Suffolk County, Massachusetts",25,025,000703,1
"Block Group 7, Census Tract 1001, Suffolk County, Massachusetts",25,025,100100,7
"Block Group 4, Census Tract 1101.03, Suffolk County, Massachusetts",25,025,110103,4
"Block Group 5, Census Tract 924, Suffolk County, Massachusetts",25,025,092400,5
"Block Group 3, Census Tract 1601.01, Suffolk County, Massachusetts",25,025,160101,3
"Block Group 1, Census Tract 1601.01, Suffolk County, Massachusetts",25,025,160101,1
"Block Group 5, Census Tract 1601.01, Suffolk County, Massachusetts",25,025,160101,5
"Block Group 2, Census Tract 1601.01, Suffolk County, Massachusetts",25,025,160101,2
"Block Group 4, Census Tract 1601.01, Suffolk County, Massachusetts",25,025,160101,4
"Block Group 5, Census Tract 605.01, Suffolk County, Massachusetts",25,025,060501,5
"Block Group 3, Census Tract 605.01, Suffolk County, Massachusetts",25,025,060501,3
"Block Group 2, Census Tract 605.01, Suffolk County, Massachusetts",25,025,060501,2
"Block Group 1, Census Tract 605.01, Suffolk County, Massachusetts",25,025,060501,1
"Block Group 4, Census Tract 605.01, Suffolk County, Massachusetts",25,025,060501,4
"Block Group 1, Census Tract 9812.02, Suffolk County, Massachusetts",25,025,981202,1
"Block Group 4, Census Tract 810.01, Suffolk County, Massachusetts",25,025,081001,4
"Block Group 1, Census Tract 104.03, Suffolk County, Massachusetts",25,025,010403,1
"Block Group 2, Census Tract 810.01, Suffolk County, Massachusetts",25,025,081001,2
"Block Group 3, Census Tract 810.01, Suffolk County, Massachusetts",25,025,081001,3
"Block Group 2, Census Tract 104.03, Suffolk County, Massachusetts",25,025,010403,2
"Block Group 3, Census Tract 104.03, Suffolk County, Massachusetts",25,025,010403,3
"Block Group 3, Census Tract 107.02, Suffolk County, Massachusetts",25,025,010702,3
"Block Group 1, Census Tract 102.04, Suffolk County, Massachusetts",25,025,010204,1
"Block Group 3, Census Tract 102.04, Suffolk County, Massachusetts",25,025,010204,3
